Coluna,Média,Desvio Padrão,Mínimo,Máximo,Mediana,Q1,Q3,Valores Ausentes
226Ra,74.97977151685316,44.05617306279945,8.31528627022454,266.908457515119,71.4369014439794,43.21,93.56,0
232Th,68.30115884164054,74.86799749004544,3.5204361838532,702.128339245144,54.7039458519372,29.9718045880804,74.7851376838949,0
40K,625.4423234457364,325.77620037602156,13.8677776837918,1204.77,666.06,299.981011663521,915.961050929266,0
Raeq,220.80948756572081,141.24695682074423,19.0099777990596,1295.23853391923,193.660010618807,141.195360937227,261.88436,0
Theq,155.18632669295326,98.90341940181533,13.31871857861,906.57771373381,136.560137445659,99.0377924440461,184.1614,0
Keq,2651.9736387623702,1811.0429350736392,249.756091348069,16805.8577179958,2228.3676,1825.49856287273,2787.1326,0
IA,0.374898857584266,0.22028086531399704,0.0415764313511227,1.33454228757559,0.357184507219897,0.21605,0.4678,0
IB,0.7059156277635297,0.42144256711965605,0.0615470951487667,3.77000565912541,0.63475437822854,0.453469506019229,0.853011111111111,0
IG,0.7999191404129586,0.49502532079789907,0.0652512240621883,4.52400679095049,0.728769411887492,0.509157091094478,0.950493333333333,0
